[BOOT] M2M post-only binance ↔ kucoin ETH/USDC
[SNAP] {'binance': {'USDC': 24.987513305446793, 'BTC': 0.002205411651549825}, 'kucoin': {'USDC': 249.96999800029994, 'BTC': 7.099926369351147e-05}}
[EDGE] AB=-2.59bps BA=0.20bps | A=None | B=None
[EDGE] AB=-2.50bps BA=0.20bps | A=None | B=None
[EDGE] AB=-2.24bps BA=-0.58bps | A=None | B=None
[EDGE] AB=0.15bps BA=-0.58bps | A=None | B=None
[EDGE] AB=-0.55bps BA=0.12bps | A=None | B=None
[EDGE] AB=2.27bps BA=-2.79bps | A=None | B=None
[EDGE] AB=-1.77bps BA=-0.73bps | A=None | B=None
[EDGE] AB=-3.54bps BA=-0.73bps | A=None | B=None
[EDGE] AB=-1.65bps BA=0.15bps | A=None | B=None
[EDGE] AB=-1.07bps BA=1.02bps | A=None | B=None
[EDGE] AB=-1.07bps BA=1.02bps | A=None | B=None
[EDGE] AB=-1.07bps BA=1.02bps | A=None | B=None
[EDGE] AB=-1.07bps BA=1.02bps | A=None | B=None
[EDGE] AB=-1.07bps BA=1.02bps | A=None | B=None
[EDGE] AB=-1.07bps BA=1.02bps | A=None | B=None
[EDGE] AB=-1.07bps BA=1.02bps | A=None | B=None
[EDGE] AB=-1.07bps BA=1.02bps | A=None | B=None
[EDGE] AB=-1.07bps BA=1.02bps | A=None | B=None
[EDGE] AB=-1.07bps BA=1.02bps | A=None | B=None
[EDGE] AB=-1.07bps BA=1.02bps | A=None | B=None
[EDGE] AB=-1.83bps BA=1.77bps | A=None | B=None
[EDGE] AB=-1.13bps BA=1.07bps | A=None | B=None
[EDGE] AB=-2.09bps BA=2.03bps | A=None | B=None
[EDGE] AB=-2.09bps BA=2.03bps | A=None | B=None
[EDGE] AB=-2.09bps BA=2.03bps | A=None | B=None
[EDGE] AB=-2.03bps BA=1.95bps | A=None | B=None
[EDGE] AB=-1.92bps BA=1.86bps | A=None | B=None
[EDGE] AB=-1.92bps BA=1.86bps | A=None | B=None
[EDGE] AB=-2.12bps BA=1.74bps | A=None | B=None
[EDGE] AB=-2.09bps BA=1.74bps | A=None | B=None
[EDGE] AB=-2.09bps BA=1.74bps | A=None | B=None
[EDGE] AB=-3.28bps BA=2.61bps | A=None | B=None
[EDGE] AB=-1.36bps BA=0.87bps | A=None | B=None
[EDGE] AB=-1.74bps BA=0.58bps | A=None | B=None
[EDGE] AB=-2.96bps BA=1.57bps | A=None | B=None
[EDGE] AB=-2.53bps BA=1.10bps | A=None | B=None
[EDGE] AB=-2.53bps BA=1.10bps | A=None | B=None
[EDGE] AB=-1.16bps BA=1.10bps | A=None | B=None
[EDGE] AB=-1.16bps BA=1.10bps | A=None | B=None
[EDGE] AB=-1.16bps BA=1.10bps | A=None | B=None
[EDGE] AB=-1.16bps BA=1.10bps | A=None | B=None
[EDGE] AB=-1.16bps BA=1.10bps | A=None | B=None
[EDGE] AB=-1.16bps BA=1.10bps | A=None | B=None
[EDGE] AB=-1.16bps BA=1.10bps | A=None | B=None
[EDGE] AB=-1.16bps BA=1.10bps | A=None | B=None
[EDGE] AB=-1.16bps BA=1.10bps | A=None | B=None
[EDGE] AB=-1.16bps BA=1.10bps | A=None | B=None
[EDGE] AB=-1.16bps BA=1.10bps | A=None | B=None
[EDGE] AB=-1.16bps BA=1.10bps | A=None | B=None
[EDGE] AB=-1.16bps BA=1.10bps | A=None | B=None
[EDGE] AB=-1.74bps BA=1.68bps | A=None | B=None
[EDGE] AB=-1.54bps BA=1.48bps | A=None | B=None
[EDGE] AB=-1.54bps BA=1.48bps | A=None | B=None
[EDGE] AB=-3.08bps BA=1.48bps | A=None | B=None
[EDGE] AB=-2.93bps BA=1.51bps | A=None | B=None
[EDGE] AB=-2.21bps BA=1.80bps | A=None | B=None
[EDGE] AB=-2.21bps BA=1.65bps | A=None | B=None
[EDGE] AB=-2.21bps BA=1.45bps | A=None | B=None
[EDGE] AB=-2.21bps BA=1.45bps | A=None | B=None
[EDGE] AB=-2.21bps BA=1.45bps | A=None | B=None
[EDGE] AB=-1.51bps BA=1.45bps | A=None | B=None
[EDGE] AB=-1.51bps BA=1.45bps | A=None | B=None
[EDGE] AB=-1.51bps BA=1.45bps | A=None | B=None
[EDGE] AB=-1.51bps BA=1.45bps | A=None | B=None
[EDGE] AB=-1.51bps BA=1.45bps | A=None | B=None
[EDGE] AB=-1.51bps BA=1.45bps | A=None | B=None
[EDGE] AB=-1.51bps BA=1.45bps | A=None | B=None
[EDGE] AB=-3.14bps BA=2.44bps | A=None | B=None
[EDGE] AB=-3.14bps BA=2.70bps | A=None | B=None
